// cobalt genesis mid-2021
// delegatee, delegator, shares
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qzdqpzsvqn2qugheq2x9ph3qj2ew3aq0wytvp6gj,95688942219
oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,oasis1qzwwwt0j6n0z22v74xwgmgrdkjnr8nrq2ya5z79x,4591870468107
oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,116482215907272
oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,11400000000000000
oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,12350000000000000
oasis1qp4rp7adhegfktyg4aq3w6jelqumx6klfv5t7kvv,oasis1qzdgud8t608mhkzlzm9kft7fm4wvm8ef4sjep0js,2200502111690
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qp0yk7xmg3zf7j8f7r2x8haf5x6gthkgssv2qw7g,1419222646055
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qp47p7afendsmns3y2cy0m4cxs9c7awg6cd6g5wn,79911419721
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,172597855442396
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qp6vw3v5e6zu3dfv8l996tvkhavn279v0ghml62c,1955765162590124
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,3060000000000000
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qp8pqz4x9ak3d9335kn9npjpz36skml4rckgtvc6,53148439871144
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpa4xwqh9ruwrgtdkvta49wxxhht5mxwlsq7lx4z,467941944762650
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpe8rtqs4zfmmu2crrdxjy635h9ln4yjjvddslef,30883905339663
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpe8x8gtmh7ykfjr2ezh8v9909rvy3jkaq5kgp8u,927852813744
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpex9d52tg5yhllzlfl8grltcprktvlxaq4zs207,32291230268242
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpfeym68ytcff098vurs38q04tj4j5r97unpmccc,115074174043
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpfhvyuazhwrmrfgssvg7637sgwa6mx3gyhnht40,284303906588768
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpkxk3f3e053t8kma9qsncag8fp787wz45a7ygpt,38400764780649
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpl0pcvaslyufrx55ywmaagzxd43x874dc0pfnt5,37960401288298
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpq4ktfap77s3mwzrte4gfuh6t390zk2csyjy354,16582113379818
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qptp3sz3seztfj5hcu02p0kl4qn75xewksvyydwt,8707857584157
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qptu47lv7wd3lppmaeeqfq5h6a7fn2j2xcqjm794,2098630677456
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpu3tc6wm6e64jzfplyhnnh6pxdelp99hvuc66cn,14029895256270
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpu4g0laef2622uemu2zd6y6dey4tts6l5qvxdgn,25143481362507
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qpwteqrl4m0u5klpx8hp77tsxhdakxru85gtf8e5,929238952
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qq28ddhmuevuk9wj279wwdn0rv5ukhk5dudd6ux7,18725375981646
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qq45zsarhrlelwhj2ekgr08570p3d2ejlua00jel,13701747156265
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qq5nhp5aqk6nda4pnvrw5y3303j3j3tgs5lymcuf,104243575864
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qq9ulk559klwjts7lpg7xalsfcycavcqlcn26tfw,309478212811
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qq9ve0w223jvhwqtz3jlw8026yt9znvltsvyx6rx,1374452629566
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qq9xfnxy0j09drdz4aqrrlculd5gahzer5pef89p,886050454990
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqapkgx5qflznckrgxyx7ga9jtpsjlz4g55hn63z,92523679376326
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqc68wdgtvhfvmsl2pa5adxn9xegjqstwg96qxp3,546369312781
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqex7w0kddyjrgrghjnnm59gsajwjtrzmuzl5j6k,158402276769523
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqex8dkyec5qv6z3e8f5uyrauw9f2nu8ns6tdlk2,6582053178067
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqg555n4h2xa0vcpt7rgygguq2pchaaw6s3eczl4,945682714
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqg6ycecprr90ey86dgmccjahuwmrd48w5f08ls2,9678723899744
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqgg0plwj7k8z7sejr2vgm2hkydvk8atnqzrx46k,21645380842265
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqkgm04sr7ukkj7ejuepc774wecad3r535x5ku8m,913929337
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqp24apw9744hevyx8aul7m3ftwnqc7y4csq5x0q,140190787040760
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqpelwwqgp8agk448w5g7ypw4pjue70kpqr6kvgj,96093020088856
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqrlfwc09ds7cyzffsrld3af3vuxed0z2q5f2k4l,9609908476787
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqsa5yycnayqe825m5gddyelytvkznr2xsw7at54,929351501
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqugp965zv2plawk9nvjzhyqsz50adh5xsyln0sj,36249009725592
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqvy9e54pdjr0cmuz08yqr4azjrhj29cygu8kd4v,552825389814
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qqw8ggqrg4nu85gtlgyl3qk0389h3ywc7q0ymh8g,926859844
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qr5kdw7sgd83hgnpe7ntscnylukvkfwwaqz525rw,2100792246877
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qr9tujkc2su4lsjdm46yf2jrs7cq85k4vg5vda6j,29451999044818
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,3315000000000000
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrfda39gv3hzj6uw3cuatmm8xavmy2gwaq0sdnd9,136071670585113
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrnh4rvwkrwqvjpypk78wy74x783pe5scc4383ns,3843578
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrpg053496zr3j9lhgl2c50d8q4s4kf40q5tqa34,99809277211844
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrq7jr566g32szfhaw8fmx6ag6kmqr0rngzh3mmc,927121809
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrr0nncl8m0y4yvdxe9r9c9k3uccu8fkjqtm0e36,155687460776465
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrr9y22kh5nccrmw886fhn92w3qy4jscgsqkk4pn,4764149053122
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrvhlq8vz8w8v2agkl502l2gkdqyzdgd7ywnnmng,78770777824792
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrvkzvz4ar249qgkrs2dwmw3m43q5h6mhudl3urh,7215583217618
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qrznhzn7dcfcxhy7hv52s850ll3vyx92jc2k5qsm,2970724797111
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qz2j5l6yteyxnu28ncq7xmuvwqhsv3l2hgdwsqvv,9778679765794
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qz78pys3lgusl4q6qllrdy7y54wxty0yps23pxvp,10046335
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qz8e8ag34p9gze36c69fxp8dxd95avm8vsk6mkag,87428221
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzag3zkuc8h6ujgykun393f6xz7cj75zzqs2arlv,9143272930507
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzc0mmj80rym2pkmnngx028wrfquywd9sqasp4jd,403994083
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzd3kh8che2ls54snuf3qv5ppu6lnas9pg5sx3dp,13743229709077
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzdk74ahffuuaq8paykwqjrmkvus7c959g6t9gz9,915129251
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzey782faetu3gh60axpu4h73ywg03h8jv4uj5e7,9128298171998
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzjuk63d8e2m587utt4mk7snxnzum8cdyykjp4lz,65508603229729
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzmzrfyq4y6re2sxadfsuvhqddwul4v84y9398jd,94808557454150
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzp5kggl7rfmxxxqm6ce7vmc6dddy498u5ees24c,329129348581138
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzq5lcm3jv4zrmty6zhy77tfyzs99k6pyul2s2yv,6243628978765
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qzsusqxj9af6hnj7wf89h0rllyn0h5ptuukesned,6074610215579
oasis1qp60saapdcrhe5zp3c3zk52r4dcfkr2uyuc5qjxp,oasis1qztn998azhwkr8ttnc5406xwf93lmdjm0g6ld9cv,47978297324328
oasis1qp6ela294e5nkay37n039fw8d50k9kygesxa8mzt,oasis1qp6ela294e5nkay37n039fw8d50k9kygesxa8mzt,175049148040
oasis1qp6ela294e5nkay37n039fw8d50k9kygesxa8mzt,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,100000000000000
oasis1qp6ela294e5nkay37n039fw8d50k9kygesxa8mzt,oasis1qpkxk3f3e053t8kma9qsncag8fp787wz45a7ygpt,19562127526451
oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,4889476105693
oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,1500000000000000
oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,oasis1qpq83e8z4kdyxcc6vjhjzra5zfdav64zwyqn7dhu,5958588
oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,1625000000000000
oasis1qp8sn8t0fk727n2lwr8zzxwu5gyf7jy9xus6p4aq,oasis1qp8sn8t0fk727n2lwr8zzxwu5gyf7jy9xus6p4aq,989594972627
oasis1qpaygvzwd5ffh2f5p4qdqylymgqcvl7sp5gxyrl3,oasis1qpaygvzwd5ffh2f5p4qdqylymgqcvl7sp5gxyrl3,55492799979000
oasis1qpg763ex50jp0e34lsu789smlzqvcv7025v7m7yx,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,5040000000000000
oasis1qpg763ex50jp0e34lsu789smlzqvcv7025v7m7yx,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qpg763ex50jp0e34lsu789smlzqvcv7025v7m7yx,oasis1qpg763ex50jp0e34lsu789smlzqvcv7025v7m7yx,656054657873665
oasis1qpg763ex50jp0e34lsu789smlzqvcv7025v7m7yx,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qpg763ex50jp0e34lsu789smlzqvcv7025v7m7yx,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,5460000000000000
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,1000000000000000
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qpd38u5fmaqrsgjrhec8jp0g053qzxw86yrq6dxl,996522952
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,64803230661105
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qptdxehmgj587ra0utsnk4nstw2fte907ufqwztu,985238310719
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qqrt6unykksh3g5xrrrvvn0r2mdpg9s0huttn9fp,20375257845324
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qrw0qcm5gpq8fykvcpv6gzccn7x2h24hau2scxkj,19636463469409
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qzc0mmj80rym2pkmnngx028wrfquywd9sqasp4jd,367393389
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qztd06lesj7rt8pf3jznysnu5ajlav052qklzuc9,98704709162
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qzvssauz0zkf8mhlvw98fgns0f87u6apcq0ekxf5,970502838
oasis1qpgl52u29wy4hjla89f46ntkn2qsa6zpdvhv6s6n,oasis1qzzq9qvsx2uy7aqtu07f8gpq45hzpvchz5gs58yk,13760172434306
oasis1qpgswa8y5ffe200tgj4a2d5sq5v3funs7vp979lt,oasis1qrzecnuey93g574kem94ryg90xvgysp3w5rjvvf5,100000000000
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qp7hpak0wuymn3pqtwf2cpaxsm25v6ydhuzkxupe,1260000000000000
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qp9w2qdrjd660jx8tvx94c9yavkhw3203577qe7c,953839865
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qpdks9ccwxa27hyccd78d58vhpl9wyddmy4xvhvk,6081081000000000
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qpj2hcusqcsyss69rh7fa3ek9ys7atrp55zrr5jm,52396639051798
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qpjmyzml0hlcm724u0m3864u7pn0k9cpxvhac5j5,4554269
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qpjq360zank9q64kxrcnvvweygmuhlr04cuk8ppz,886245559149
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,503412684703670
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qprhaapuseutcuwuyk5ufjm4h0lge9a6cvjgl6th,18673194512983
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qqnqhylzue3spjy2s9vxfyfwdpd872c9n5hwudem,7907909
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qqpelwwqgp8agk448w5g7ypw4pjue70kpqr6kvgj,1686661
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qqs6ylpfurhf6gc9mw232fkmrt3d0673lyzc5xf2,27027027000000000
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qqzt9qamqdl2kau4avryz6pp2nq8rgxmzysz2492,288999339320
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qr2a85dr3ang6d4n42wrxyv5v3kt2a9u5uctcjjf,921360702
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qr3c2adpnmw6yxr98xxguh85zgf9j4rphus87zjz,7644163166824
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qr9uh9e73pd87umxwxx376lhjh4aapsacgq87awp,9455395086384
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qrad7s7nqm4gvyzr8yt2rdk0ref489rn3vn400d6,1365000000000000
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qrdgmm2gc0wu8kcxx3an32he0wc2aaw5qy5spqkp,42599909753435
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qzag3zkuc8h6ujgykun393f6xz7cj75zzqs2arlv,9779959092775
oasis1qpjuke27se2wnmvx6e8uc4l5h44yjp9h7g2clqfq,oasis1qztxvkfsp2d2qhy3neg55latj6863j3myuuygkha,81197426411748
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp02ggy3qs6aw63frtmvuu0hphuftgylnvpunw0f,948514365
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp0eaml63jnscur6ml6ara74gkyyawrytsqjy4hf,914667813
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp0jmx8j8jxxtqcxmdy2te0h646wnhvg2c6d9r7r,43238000925450
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp0yk7xmg3zf7j8f7r2x8haf5x6gthkgssv2qw7g,1422221497489
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp0zak45qy8unxhexxzfs3ku4gsl3zyjwsvysc8g,9156933779635
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp2pavu662cql6d52th2kqwn8nt3wu4cyv67cehf,929138471
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp2pm3dcx2msymsdjddzespv80h4a699dvurj7k0,6348762023111
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp2vqjludqr9wqulqzh70uyz9u4t5k554c4cjj54,4770876917634
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp2x9xa6042g8j9lfkpk887dsk2uta4xuv5y6tja,138110669074521
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp3c508g3wqkd4xhvk8cp57vuhd36egvkqnek244,156478725999667
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp3fsr9kzmh7rrhekrumuw46tqjsqqjcyvmyv8hd,4133382121
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp3st2q004k2xy9cqyh5c4m03qr78rfacs5jd7us,30670726218619
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp47p7afendsmns3y2cy0m4cxs9c7awg6cd6g5wn,194046280980
oasis1qpn83e8hm3gdhvpfv66xj3qsetkj3ulmkugmmxn3,oasis1qp4kv8a67qt7kujwxya3g96qqv3aaa0u65gymm3x,32656728104621
